epoch,train_loss,val_loss
1,0.014317566735876931,0.06296558451873285
2,0.0022596639859350934,0.06201547163504141
3,0.0018227009559442715,0.059867107923384066
4,0.0014943967237033779,0.05753456701834996
5,0.0013525593531642723,0.0550844042941376
6,0.0012880261283603378,0.05428301796868995
7,0.0013544158332078394,0.05011523735743982
8,0.0014289098051804836,0.05018421946852295
9,0.001290040982751554,0.04704196867015627
10,0.0014037584290051142,0.04687630848752128
11,0.0014165153252353386,0.041115703958052176
12,0.0013180205186336547,0.04010000769738798
13,0.001287160984550913,0.039450747602515754
14,0.0012642384544229027,0.04028033056744823
15,0.0012364234651306865,0.03822216838598251
16,0.001208096722112362,0.03384801494302573
17,0.0013016553477908689,0.03737150640399368
18,0.0012325202052435086,0.037904793796715915
19,0.0012153759897575924,0.038741994400819144
20,0.001253704614696446,0.035946021974086764
