epoch,train_loss,val_loss
1,0.03177965215632114,0.005000583129865979
2,0.008411207122164439,0.0029547003554870133
3,0.005971279823117786,0.002187267117443736
4,0.005011964916747592,0.0020478309985871115
5,0.004030355827711608,0.001954430586623925
6,0.0038019369420563354,0.0018322677286859187
7,0.0036261499113620925,0.0020565417073494584
8,0.003435922418167936,0.0018008659817968253
9,0.0033237998769886194,0.0018071939616843505
10,0.003333562398079597,0.0018382284969212142
11,0.00325294056643243,0.002038622491872283
12,0.00325731767459248,0.0018997862932910385
13,0.0030910590676041286,0.0018616607516176171
