epoch,train_loss,val_loss
1,0.014734354926366003,0.0029062361318480086
2,0.003886606235599495,0.0017694165119556365
3,0.0026981429610815314,0.0011018953794889427
4,0.002151701259480297,0.0013060832577240136
5,0.001966967487393725,0.0008001899553669823
6,0.0017660081804055593,0.0007300566782726458
7,0.00150840607807629,0.001059351776967998
8,0.00145594145517468,0.000755281751561496
9,0.0013313869677191437,0.0005762342812010536
10,0.0012999300307940363,0.0005701933560582499
11,0.0012844781339136433,0.0008540125270546586
12,0.0012517203480965134,0.0006162753496836457
13,0.0011595472402628011,0.0006346862931321893
14,0.001194768062287806,0.0006699533831259167
15,0.001130616842765518,0.0005882469682816278
