epoch,train_loss,val_loss
1,0.022104433561957144,0.00487807553468479
2,0.005900567509876243,0.0027789703346099014
3,0.004385445489087838,0.0015751357582673706
4,0.0038025343890562367,0.001785170794809582
5,0.003228338995513103,0.0012638440403086996
6,0.0028601177937754383,0.0014142290883076688
7,0.0028327549076228764,0.001304640578261266
8,0.0026607327189981595,0.0013822078898859521
9,0.002641559259116764,0.001399450060583789
10,0.0026268279278058543,0.0012386634441403051
11,0.002521099579802418,0.0012230258034024802
12,0.0024844489169175026,0.0012143603275978454
13,0.00241709371736109,0.001209704044137012
14,0.0024637153971640543,0.0012741352220203865
15,0.00241241579825394,0.00133884666159887
16,0.0024425270998407996,0.001253930128748632
17,0.002439116076940949,0.0012098944288919922
18,0.002339458595283358,0.0012287179848903583
