epoch,train_loss,val_loss
1,0.024199420443496943,0.07796939745959308
2,0.004820188482459706,0.0762508331556563
3,0.004288158814826003,0.07555036559287044
4,0.004203547359626183,0.0672792744650333
5,0.0039617747489462864,0.07182230991483839
6,0.003979954963337659,0.06585606412479171
7,0.0038370663671258307,0.05478828692877734
8,0.004243142406859389,0.03670957121584151
9,0.004576896800805897,0.03337728253531235
10,0.004348500402487272,0.039073759365688875
11,0.0044068845374317005,0.007388157369051542
12,0.004948358444436329,0.03382953424351635
13,0.004261480173331568,0.021964844581843525
14,0.004035021647653931,0.018981767150883875
15,0.0037649693110265495,0.013669214656369553
16,0.0038370958527628603,0.013947395350853051
