epoch,train_loss,val_loss
1,0.019112584669985076,0.04917713756914492
2,0.0037471561467853085,0.04738599310318629
3,0.0032678172384813372,0.04441880812799489
4,0.002887542354178497,0.04146531770626704
5,0.002916434753001079,0.04191688139129568
6,0.002897293785037437,0.03686234341175468
7,0.0031922007803858697,0.03944519634048144
8,0.0030098101409630302,0.03614636563040592
9,0.003242087539756435,0.025622139264036108
10,0.003354530576331063,0.029979179937530447
11,0.003254872766391185,0.03004661013406736
12,0.002953119870360898,0.03265747048512653
13,0.0028755237416175135,0.027748116561108167
14,0.0029367602223323453,0.018609599065449504
15,0.0032014095302942383,0.017589343697936445
16,0.003097400129897613,0.01545256689466812
17,0.0033134506414091336,0.013952648957018499
18,0.0033961830186118795,0.005193680138499648
19,0.003779332871616629,0.008040830220475241
20,0.003093071606177908,0.005172093597206252
